名称,ID,日期,充电功率/MW,当日平均充电功率/MW,当日最大充电功率/MW,当日 MAXV 对应时间,当日 V 最小值/MW,当日 MINV 对应时间,充电时长/h,当日所有 S 的均值/h,当日 S 的最大值/h,当日 S 的最小值/h,当日最大充电时长跨度/h
电动汽车充电站,1001-1012,2024/3/24 4:00,4.99,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.234,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 4:15,4.41,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 4:30,4.16,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.235,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 4:45,3.69,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.234,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 5:00,3.45,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.238,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 5:15,3.2,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.24,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 5:30,3.05,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.241,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 5:45,2.67,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.241,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 6:00,2.77,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.232,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 6:15,2.57,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.229,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 6:30,2.28,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.233,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 6:45,2.71,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.237,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 7:00,2.46,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.234,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 7:15,2.36,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.217,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 7:30,2.83,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.227,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 7:45,3.03,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.235,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 8:00,2.87,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.24,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 8:15,2.99,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.231,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 8:30,3.24,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.24,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 8:45,3.6,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.23,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 9:00,3.93,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.239,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 9:15,4.08,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.239,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 9:30,4.28,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.241,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 9:45,4.78,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.235,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 10:00,4.8,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.232,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 10:15,5.3,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.244,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 10:30,5.4,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.233,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 10:45,5.81,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.238,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 11:00,6.03,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.249,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 11:15,6.33,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.244,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 11:30,6.57,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.245,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 11:45,7.1,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.247,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 12:00,7.04,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.247,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 12:15,7.27,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.244,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 12:30,7.91,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.241,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 12:45,7.92,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.259,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 13:00,7.57,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.244,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 13:15,7.97,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.248,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 13:30,7.89,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.248,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 13:45,8.08,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 14:00,7.79,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 14:15,8.25,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.254,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 14:30,8.08,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.242,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 14:45,8.23,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.249,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 15:00,7.92,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.25,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 15:15,8.11,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.245,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 15:30,7.96,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.245,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 15:45,8.18,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.251,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 16:00,8.1,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.246,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 16:15,7.96,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.236,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 16:30,7.76,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.253,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 16:45,8.11,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.241,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 17:00,7.6,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.246,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 17:15,7.68,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.239,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 17:30,7.95,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 17:45,8.4,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.245,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 18:00,8.15,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.247,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 18:15,8.28,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.242,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 18:30,8.2,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.256,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 18:45,8.66,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.247,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 19:00,8.73,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.252,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 19:15,8.74,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.247,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 19:30,8.5,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.252,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 19:45,8.41,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.236,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 20:00,8.18,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 20:15,8.19,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.244,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 20:30,7.75,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 20:45,7.43,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.247,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 21:00,7.2,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.247,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 21:15,6.83,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 21:30,6.45,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 21:45,6.25,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.255,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 22:00,5.87,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 22:15,5.55,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.23,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 22:30,5.41,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.245,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 22:45,5.1,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 23:00,5.21,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.246,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 23:15,5.24,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.243,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 23:30,5.09,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.236,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/24 23:45,5.63,6.16,8.74,2024/3/24 19:15,2.28,2024/3/24 6:30,0.246,0.243,0.259,0.217,0.042
电动汽车充电站,1001-1012,2024/3/25 0:00,6.1,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.243,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 0:15,6.83,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.249,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 0:30,7.56,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.253,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 0:45,8.02,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.245,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 1:00,8.27,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.251,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 1:15,8.43,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.252,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 1:30,8.67,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.248,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 1:45,8.47,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.257,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 2:00,7.94,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.251,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 2:15,7.4,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.242,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 2:30,6.58,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.244,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 2:45,6.19,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.247,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 3:00,5.4,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.25,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 3:15,4.83,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.243,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 3:30,4.01,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.239,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 3:45,3.53,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.243,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 4:00,2.69,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.234,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 4:15,2.53,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.23,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 4:30,1.96,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.237,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 4:45,1.94,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.232,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 5:00,1.47,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.247,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 5:15,1.69,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.235,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 5:30,1.39,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.236,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 5:45,1.76,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.23,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 6:00,2.03,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 6:15,2.11,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.234,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 6:30,2.29,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.234,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 6:45,2.89,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.235,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 7:00,3.08,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.23,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 7:15,3.39,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.236,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 7:30,3.84,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 7:45,4.61,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.231,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 8:00,4.75,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.245,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 8:15,5.09,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.239,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 8:30,5.28,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.242,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 8:45,5.49,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.23,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 9:00,5.29,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.242,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 9:15,5.66,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.236,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 9:30,5.73,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 9:45,5.49,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.233,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 10:00,5.48,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.237,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 10:15,5.18,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 10:30,5.23,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.239,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 10:45,5.06,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.245,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 11:00,4.78,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.23,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 11:15,4.33,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.238,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 11:30,3.76,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.237,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 11:45,3.26,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.234,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 12:00,2.95,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.231,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 12:15,2.72,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.241,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 12:30,2.51,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.245,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 12:45,2.4,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.226,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 13:00,2.09,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.23,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 13:15,2.17,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.229,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 13:30,2.02,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.233,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 13:45,2.04,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 14:00,2.25,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.237,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 14:15,1.99,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.233,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 14:30,2.37,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.235,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 14:45,2.49,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.233,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 15:00,2.67,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.239,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 15:15,3.12,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.241,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 15:30,3.43,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 15:45,3.49,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.226,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 16:00,3.96,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.238,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 16:15,4.41,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.238,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 16:30,4.71,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.244,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 16:45,5.23,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.242,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 17:00,5.57,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.244,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 17:15,6.17,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 17:30,6,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.247,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 17:45,6.52,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.249,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 18:00,6.66,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.235,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 18:15,7.11,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.238,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 18:30,6.93,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.248,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 18:45,7.32,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.244,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 19:00,7.21,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.25,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 19:15,7.16,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.246,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 19:30,6.96,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.247,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 19:45,6.95,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.24,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 20:00,6.97,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.246,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 20:15,6.55,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.245,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 20:30,6.35,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.239,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 20:45,6.19,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.247,0.24,0.257,0.226,0.031
电动汽车充电站,1001-1012,2024/3/25 21:00,5.64,4.7,8.67,2024/3/25 1:30,1.39,2024/3/25 5:30,0.232,0.24,0.257,0.226,0.031
